gene,value
AARS,0.052457600831985474
ABCB6,0.34680449962615967
ABCC5,-0.2199920415878296
ABCF1,0.26969215273857117
ABCF3,0.24717582762241364
ABHD4,0.16047005355358124
ABHD6,-0.5206680297851562
ABL1,0.3174084424972534
ACAA1,0.0664537101984024
ACAT2,-0.3915576636791229
ACBD3,0.16479343175888062
ACD,0.5015233159065247
ACLY,0.1767512559890747
ACOT9,1.3340651988983154
ADAM10,-0.48775267601013184
ADAT1,-0.006904423236846924
ADCK3,-0.12192434072494507
ADGRE5,1.7195103168487549
ADGRG1,0.07913753390312195
ADH5,-0.3312321901321411
ADI1,-0.30840277671813965
ADO,0.45730242133140564
ADRB2,-1.0895698070526123
AGL,-0.5159308314323425
AKAP8,0.26273423433303833
AKAP8L,-0.13154353201389313
AKR7A2,0.4482240080833435
AKT1,0.06119602918624878
ALAS1,-0.6244901418685913
ALDH7A1,0.8222869038581848
ALDOA,0.6497209072113037
ALDOC,0.3978256583213806
AMDHD2,-0.15404441952705383
ANKRD10,0.07434747368097305
ANO10,0.30269014835357666
ANXA7,-0.020284507423639297
APBB2,-0.4742490351200104
APOE,-0.6032600402832031
APP,0.07631996273994446
APPBP2,0.4679831564426422
ARFIP2,0.10905997455120087
ARHGAP1,0.23502054810523987
ARHGEF12,-0.20218680799007416
ARHGEF2,0.7847889065742493
ARID4B,-2.025393486022949
ARID5B,-0.21494202315807343
ARL4C,-0.37437695264816284
ARNT2,-0.1342225819826126
ARPP19,0.12508296966552734
ASAH1,0.29485562443733215
ASCC3,0.22640454769134521
ATF1,0.17874985933303833
ATF5,0.6822872757911682
ATF6,-0.11078740656375885
ATG3,0.2130654752254486
ATMIN,0.031312815845012665
ATP11B,-0.6407457590103149
ATP1B1,0.15827468037605286
ATP2C1,0.2902761697769165
ATP5S,0.21586108207702637
ATP6V0B,0.5451444387435913
ATP6V1D,0.39396238327026367
AURKA,-0.37166380882263184
AURKB,-0.352700412273407
AXIN1,0.4010120630264282
B4GAT1,-0.2002340853214264
BACE2,0.3261610269546509
BAD,0.4583766758441925
BAG3,0.3001692295074463
BAMBI,0.2782424986362457
BAX,-1.7925862073898315
BCL2,-0.16158843040466309
BCL7B,0.23058873414993286
BDH1,0.2961869239807129
BECN1,0.0008502863347530365
BHLHE40,0.42496293783187866
BID,-0.2875639796257019
BIRC2,0.3021334111690521
BIRC5,0.33941638469696045
BLCAP,0.37457630038261414
BLMH,0.2551462650299072
BLVRA,-0.247564435005188
BMP4,-0.6119587421417236
BNIP3,0.04031454026699066
BNIP3L,-0.1773618459701538
BPHL,-0.6625004410743713
BRCA1,-0.4145827889442444
BTK,-0.3144230842590332
BUB1B,-0.04173111915588379
BZW2,-0.37726420164108276
C2CD2,1.4916526079177856
C2CD2L,0.7719963788986206
C2CD5,-2.538991689682007
C5,-0.43642157316207886
CAB39,0.2052435576915741
CALM3,-0.5340121984481812
CALU,-0.46755945682525635
CAMSAP2,0.020846307277679443
CANT1,0.43951359391212463
CAPN1,-0.14907634258270264
CASC3,-0.2458992302417755
CASK,0.07048449665307999
CASP10,-0.08917483687400818
CASP2,0.5333994030952454
CASP3,0.19365862011909485
CASP7,0.09698218107223511
CAST,-0.059603914618492126
CAT,-0.2963219881057739
CBLB,-0.29000091552734375
CBR1,0.10761573910713196
CBR3,0.21971873939037323
CCDC85B,-0.04980289936065674
CCDC86,-0.3639218211174011
CCDC92,0.04329690337181091
CCL2,0.028342396020889282
CCNA1,-0.49450886249542236
CCNA2,0.12969648838043213
CCNB1,-0.7166388034820557
CCNB2,0.23175249993801117
CCND1,0.5593160390853882
CCND3,0.7873786687850952
CCNE2,-0.9812068939208984
CCNF,0.6486356854438782
CCNH,-0.20227555930614471
CCP110,-0.35551485419273376
CD320,0.5385000109672546
CD40,-0.20766854286193848
CD44,-0.591113269329071
CD58,-0.7054533958435059
CDC20,-0.12929587066173553
CDC25A,0.3998725414276123
CDC25B,-0.015036046504974365
CDC42,0.264693945646286
CDC45,0.4661479592323303
CDCA4,-0.26511818170547485
CDH3,-0.3157995641231537
CDK1,-0.449577271938324
CDK19,-0.16302001476287842
CDK2,-0.06325148046016693
CDK4,-0.5298416614532471
CDK5R1,-0.3468685746192932
CDK6,0.01777038350701332
CDK7,-0.6122404336929321
CDKN1A,0.4518987536430359
CDKN1B,1.1225154399871826
CDKN2A,0.33116409182548523
CEBPA,0.05166403204202652
CEBPD,-0.35289010405540466
CEBPZ,-0.016351059079170227
CENPE,0.6747773885726929
CEP57,0.023409605026245117
CERK,-0.6848429441452026
CETN3,-0.305997759103775
CFLAR,0.29253730177879333
CGRRF1,0.06896205246448517
CHAC1,-0.3116985857486725
CHEK1,-0.672486424446106
CHEK2,0.29057207703590393
CHERP,-0.13882401585578918
CHIC2,-0.3274890184402466
CHMP4A,-0.11931845545768738
CHMP6,0.1881621927022934
CHN1,-0.30194908380508423
CHP1,-0.050098396837711334
CIAPIN1,0.026335179805755615
CIRBP,0.33853939175605774
CISD1,-0.6961576342582703
CLIC4,-0.3562195897102356
CLPX,0.06056541949510574
CLSTN1,-0.3797549903392792
CLTB,0.11234080791473389
CLTC,-0.11370429396629333
CNDP2,-0.0018472671508789062
CNOT4,0.36602503061294556
CNPY3,0.3449958860874176
COASY,0.8112503290176392
COG2,-0.4277832508087158
COG4,-0.4376375377178192
COG7,-0.2333812117576599
COL1A1,0.2873225212097168
COL4A1,-0.8497616648674011
COPB2,-0.32416993379592896
COPS7A,0.39721226692199707
CORO1A,-0.5835962891578674
CPNE3,-0.3077632486820221
CPSF4,0.13341210782527924
CREB1,0.10703681409358978
CREG1,-0.21633552014827728
CRELD2,0.2835853695869446
CRK,0.005393944680690765
CRKL,-0.35341328382492065
CRTAP,-0.03502611443400383
CRYZ,0.06085176020860672
