gene	value
AARS	0.25875991582870483
ABCB6	-0.639603316783905
ABCC5	0.23922991752624512
ABCF1	0.21718189120292664
ABCF3	-0.06110760569572449
ABHD4	-0.3808174133300781
ABHD6	2.13802170753479
ABL1	0.5056523084640503
ACAA1	0.06807592511177063
ACAT2	-0.0107969269156456
ACBD3	-0.5544053316116333
ACD	-0.07824066281318665
ACLY	-1.8058898448944092
ACOT9	0.4230126738548279
ADAM10	-0.48473915457725525
ADAT1	-0.07066614925861359
ADCK3	-0.019685745239257812
ADGRE5	0.054258763790130615
ADGRG1	2.2422895431518555
ADH5	0.24041008949279785
ADI1	-0.5710242390632629
ADO	0.8802410364151001
ADRB2	0.5517337918281555
AGL	-0.2379656881093979
AKAP8	-1.4351234436035156
AKAP8L	-0.2826104164123535
AKR7A2	0.569200336933136
AKT1	0.1600005030632019
ALAS1	-1.099867582321167
ALDH7A1	-1.2126401662826538
ALDOA	-0.2748083770275116
ALDOC	0.3061598241329193
AMDHD2	0.3189600706100464
ANKRD10	-0.759120523929596
ANO10	-0.8760655522346497
ANXA7	0.3403421640396118
APBB2	0.19092385470867157
APOE	-0.4271981716156006
APP	-0.08668956160545349
APPBP2	-0.3708253502845764
ARFIP2	-0.206608846783638
ARHGAP1	0.48034346103668213
ARHGEF12	-0.5687295198440552
ARHGEF2	0.572062075138092
ARID4B	-0.6350429058074951
ARID5B	-0.271229088306427
ARL4C	0.07212823629379272
ARNT2	0.29866331815719604
ARPP19	-0.10831715166568756
ASAH1	-0.17689821124076843
ASCC3	0.07308349013328552
ATF1	-0.39401453733444214
ATF5	0.7284541726112366
ATF6	-0.0999366044998169
ATG3	1.4755911827087402
ATMIN	-0.17232605814933777
ATP11B	0.16570952534675598
ATP1B1	-0.36144763231277466
ATP2C1	0.13094525039196014
ATP5S	-0.12674608826637268
ATP6V0B	-0.04881000518798828
ATP6V1D	0.19734282791614532
AURKA	0.6600797176361084
AURKB	-0.40411925315856934
AXIN1	0.4229346513748169
B4GAT1	-0.050366878509521484
BACE2	0.5430164337158203
BAD	2.8493010997772217
BAG3	0.931373655796051
BAMBI	-1.37934148311615
BAX	-1.5080692768096924
BCL2	0.29362109303474426
BCL7B	0.2288178652524948
BDH1	-0.7600204348564148
BECN1	0.22829967737197876
BHLHE40	0.1908620446920395
BID	0.7545958161354065
BIRC2	0.9568858742713928
BIRC5	-0.02645246684551239
BLCAP	1.08367919921875
BLMH	0.49325239658355713
BLVRA	0.22284163534641266
BMP4	-0.43656349182128906
BNIP3	-0.373784601688385
BNIP3L	-0.04228554666042328
BPHL	-0.5292721390724182
BRCA1	0.6576149463653564
BTK	-0.29162484407424927
BUB1B	-0.43476244807243347
BZW2	0.17522796988487244
C2CD2	0.6109503507614136
C2CD2L	0.13807393610477448
C2CD5	0.6972932815551758
C5	0.17341071367263794
CAB39	0.038988590240478516
CALM3	-0.08565688133239746
CALU	0.20047952234745026
CAMSAP2	-0.9595048427581787
CANT1	0.11949843168258667
CAPN1	0.08296755701303482
CASC3	0.3280290961265564
CASK	0.42466768622398376
CASP10	-0.19525858759880066
CASP2	0.13307945430278778
CASP3	-0.6795496940612793
CASP7	-0.29962483048439026
CAST	-0.13685300946235657
CAT	-0.5471150875091553
CBLB	-0.8320871591567993
CBR1	0.2893102765083313
CBR3	0.054343223571777344
CCDC85B	-0.5367773771286011
CCDC86	-0.15812909603118896
CCDC92	2.1731984615325928
CCL2	0.22990605235099792
CCNA1	-0.07930178940296173
CCNA2	-0.1470988690853119
CCNB1	-0.18690088391304016
CCNB2	0.3043597936630249
CCND1	-0.4361727833747864
CCND3	-0.16754627227783203
CCNE2	-0.16490232944488525
CCNF	0.5801582336425781
CCNH	0.5202527642250061
CCP110	0.9033445715904236
CD320	-0.5546147227287292
CD40	0.25504475831985474
CD44	0.04385480284690857
CD58	-0.10656449943780899
CDC20	-0.5437699556350708
CDC25A	0.6721036434173584
CDC25B	-2.333263635635376
CDC42	-0.2654179036617279
CDC45	0.5305424332618713
CDCA4	-0.21333003044128418
CDH3	0.714674711227417
CDK1	-0.09219777584075928
CDK19	-0.014090895652770996
CDK2	0.4149301052093506
CDK4	-0.26355522871017456
CDK5R1	-0.2556307315826416
CDK6	-0.15132096409797668
CDK7	0.31581106781959534
CDKN1A	0.6618680953979492
CDKN1B	-0.33200007677078247
CDKN2A	-0.10329005122184753
CEBPA	1.071382761001587
CEBPD	0.1784839630126953
CEBPZ	0.3305915594100952
CENPE	0.36247676610946655
CEP57	-0.46794116497039795
CERK	-0.4337884783744812
CETN3	0.11352638155221939
CFLAR	0.5599528551101685
CGRRF1	0.9159798622131348
CHAC1	-0.32264357805252075
CHEK1	-0.34823721647262573
CHEK2	0.20387452840805054
CHERP	0.5971890091896057
CHIC2	0.22557926177978516
CHMP4A	0.5927783250808716
CHMP6	0.8093490600585938
CHN1	1.2131630182266235
CHP1	0.13927581906318665
CIAPIN1	1.3897420167922974
CIRBP	0.2875644564628601
CISD1	-0.15548568964004517
CLIC4	0.16866613924503326
CLPX	0.3325004577636719
CLSTN1	0.39097121357917786
CLTB	-0.09738706797361374
CLTC	-0.16462302207946777
CNDP2	0.5893374681472778
CNOT4	0.26879173517227173
CNPY3	0.24998147785663605
COASY	0.27693986892700195
COG2	0.007603153586387634
COG4	0.021621428430080414
COG7	0.8047630786895752
COL1A1	-0.29321762919425964
COL4A1	-0.7800414562225342
COPB2	-0.5191951990127563
COPS7A	0.428250253200531
CORO1A	-1.1170711517333984
CPNE3	-0.017046809196472168
CPSF4	0.6304618120193481
CREB1	-0.5822181701660156
CREG1	-0.09126001596450806
CRELD2	-0.18706852197647095
CRK	-0.46322253346443176
CRKL	-0.24464747309684753
CRTAP	0.057696908712387085
CRYZ	-0.0062909722328186035
CSK	-0.5406214594841003
CSNK1A1	-0.23239409923553467
CSNK1E	1.9598474502563477
CSNK2A2	-0.1266011893749237
CSRP1	-0.09071801602840424
CTNNAL1	-0.39258986711502075
CTNND1	-0.14630264043807983
CTSD	-0.13118669390678406
CTSL	0.24575385451316833
CTTN	0.4003920555114746
CXCL2	0.9018005728721619
CXCR4	2.3322665691375732
CYB561	-0.32108622789382935
CYCS	0.023591190576553345
CYTH1	-0.82396000623703
DAG1	0.16317597031593323
DAXX	0.1833520531654358
DCK	0.4544736444950104
DCTD	-0.23068895936012268
DCUN1D4	-0.03230220079421997
DDB2	-0.02354961633682251
DDIT4	0.28250038623809814
DDR1	-0.5878382921218872
DDX10	0.7194347977638245
DDX42	0.7347185611724854
DECR1	0.32887524366378784
DENND2D	-0.06264208257198334
DERA	0.33219051361083984
DFFA	-0.5925196409225464
DFFB	-0.3181537389755249
DHDDS	-0.05106516182422638
DHRS7	-0.10130729526281357
DHX29	0.5834803581237793
DLD	-1.0746498107910156
DMTF1	-0.384840726852417
DNAJA3	-0.6793272495269775
DNAJB1	0.01248258352279663
DNAJB2	-0.7107786536216736
DNAJB6	-0.7288177013397217
DNAJC15	0.5339654088020325
DNM1	0.08122704923152924
DNM1L	-0.7645102739334106
DNMT1	0.20805808901786804
DNMT3A	-0.03898617625236511
DNTTIP2	-0.29777491092681885
DPH2	0.5030179619789124
DRAP1	0.23325344920158386
DSG2	-0.14699213206768036
DUSP11	0.07567518204450607
DUSP14	0.43017831444740295
DUSP22	0.9440215826034546
DUSP3	0.2660127878189087
DUSP4	0.4843171238899231
DUSP6	0.845229983329773
DYNLT3	0.10322481393814087
DYRK3	0.20478352904319763
E2F2	2.968459367752075
EAPP	-0.05128541588783264
EBNA1BP2	0.12713505327701569
EBP	0.5758308172225952
ECD	0.2060040533542633
ECH1	-0.9432501196861267
EDEM1	0.3311818242073059
EDN1	-0.7804769277572632
EED	-0.011897236108779907
EFCAB14	-0.4036633372306824
EGF	-0.4536871910095215
EGFR	0.5831352472305298
EGR1	-0.48731645941734314
EIF4EBP1	0.028980962932109833
EIF4G1	0.04218408465385437
EIF5	-0.16214057803153992
ELAC2	0.1858757883310318
ELAVL1	-0.2770560383796692
ELOVL6	0.690902829170227
EML3	0.9204622507095337
ENOPH1	0.4723149538040161
ENOSF1	0.5192541480064392
EPB41L2	-0.36050188541412354
EPHA3	-0.4323125183582306
EPHB2	-0.0077436864376068115
EPN2	0.3890567123889923
EPRS	1.2320561408996582
ERBB2	0.18236972391605377
ERBB3	-0.8571352362632751
ERO1A	-0.24125202000141144
ETFB	0.7143720388412476
ETS1	-0.6990803480148315
ETV1	-0.035616934299468994
EVL	0.7039846181869507
EXOSC4	0.41460809111595154
EXT1	0.11606776714324951
EZH2	0.3850368857383728
FAH	-0.9221449494361877
FAIM	0.18740828335285187
FAM20B	-0.16864904761314392
FAM57A	0.449077844619751
FAM63A	0.5659979581832886
FAM69A	-1.0713341236114502
FAS	0.42917847633361816
FASTKD5	0.08607569336891174
FAT1	-0.2326832413673401
FBXL12	-0.539147138595581
FBXO11	0.1340096890926361
FBXO21	0.009565286338329315
FBXO7	0.36606162786483765
FCHO1	-0.1163431853055954
FDFT1	0.9323157072067261
