gene,value
AARS,0.7166576385498047
ABCB6,0.7610957026481628
ABCC5,1.105926513671875
ABCF1,-0.054763756692409515
ABCF3,0.05956004559993744
ABHD4,0.6647106409072876
ABHD6,-0.09815442562103271
ABL1,-0.5712494850158691
ACAA1,0.9293609261512756
ACAT2,-1.7283382415771484
ACBD3,0.37732693552970886
ACD,0.6027354001998901
ACLY,0.16719304025173187
ACOT9,0.3439887762069702
ADAM10,0.8724504709243774
ADAT1,-0.41548725962638855
ADCK3,0.05482335388660431
ADGRE5,0.5227411389350891
ADGRG1,0.10446199774742126
ADH5,-0.3432962894439697
ADI1,0.3153086304664612
ADO,0.8928695917129517
ADRB2,0.22525754570960999
AGL,-0.028722792863845825
AKAP8,1.9042999744415283
AKAP8L,-0.3361559510231018
AKR7A2,-0.08074356615543365
AKT1,-1.4711765050888062
ALAS1,0.15707585215568542
ALDH7A1,-0.11435280740261078
ALDOA,-0.2679332196712494
ALDOC,1.4012672901153564
AMDHD2,0.7866433262825012
ANKRD10,0.19021734595298767
ANO10,0.6898928284645081
ANXA7,0.24144788086414337
APBB2,-0.3136112689971924
APOE,0.17535290122032166
APP,-1.5933971405029297
APPBP2,-0.4118611514568329
ARFIP2,0.5327463746070862
ARHGAP1,0.5097248554229736
ARHGEF12,0.37454545497894287
ARHGEF2,-0.4196011424064636
ARID4B,0.17138925194740295
ARID5B,-0.6369000673294067
ARL4C,-0.7754623889923096
ARNT2,-0.6693776845932007
ARPP19,-0.08461868762969971
ASAH1,-0.09450292587280273
ASCC3,0.49880462884902954
ATF1,0.1571800708770752
ATF5,-1.7939715385437012
ATF6,-0.29405438899993896
ATG3,0.2521432042121887
ATMIN,0.2348160743713379
ATP11B,-0.8503706455230713
ATP1B1,0.11348555982112885
ATP2C1,-0.02960968017578125
ATP5S,-0.08663666248321533
ATP6V0B,0.3572966158390045
ATP6V1D,0.9974033832550049
AURKA,0.10299836099147797
AURKB,-0.30907362699508667
AXIN1,0.256435364484787
B4GAT1,0.2762908637523651
BACE2,-0.6869865655899048
BAD,0.23823390901088715
BAG3,-0.5328524112701416
BAMBI,-0.0498906672000885
BAX,0.2061707228422165
BCL2,-0.25168079137802124
BCL7B,0.03379702568054199
BDH1,0.970202624797821
BECN1,0.3174988031387329
BHLHE40,-0.4484562873840332
BID,-0.7163130640983582
BIRC2,0.6350283622741699
BIRC5,0.3938939869403839
BLCAP,0.5347423553466797
BLMH,1.1405773162841797
BLVRA,0.21961426734924316
BMP4,-0.021004214882850647
BNIP3,1.1260063648223877
BNIP3L,0.5039705634117126
BPHL,-0.9365817904472351
BRCA1,0.46418797969818115
BTK,0.27977055311203003
BUB1B,-0.214283749461174
BZW2,-0.752629280090332
