casrn,inchikey,inchi_code,target,consensus_call,consensus_score,label,label_provenance,inchikey_source
003563-27-7(1),NLLMJANWPUQQTA-UHFFFAOYSA-N,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3-5,10,14,16-17,19-20H,2,6-9H2,1H3",ER,active,,1,cerapp_experimental_functional,inchi
100-00-5(4),CZGCEKJOLUNIFY-UHFFFAOYSA-N,InChI=1S/C6H4ClNO2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,ER,inactive,,0,cerapp_experimental_functional,inchi
100-01-6(2),TYMLOMAKGOJONV-UHFFFAOYSA-N,"InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2",ER,inactive,,0,cerapp_experimental_functional,inchi
"100-02-7(4), 824-78-2(2)",BTJIUGUIPKRLHP-UHFFFAOYSA-N,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",ER,inactive,,0,cerapp_experimental_functional,inchi
100-06-1(2),NTPLXRHDUXRPNE-UHFFFAOYSA-N,"InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
100-10-7(2),BGNGWHSBYQYVRX-UHFFFAOYSA-N,"InChI=1S/C9H11NO/c1-10(2)9-5-3-8(7-11)4-6-9/h3-7H,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
100-11-8(2),VOLRSQPSJGXRNJ-UHFFFAOYSA-N,"InChI=1S/C7H6BrNO2/c8-5-6-1-3-7(4-2-6)9(10)11/h1-4H,5H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-14-1(2),KGCNHWXDPDPSBV-UHFFFAOYSA-N,"InChI=1S/C7H6ClNO2/c8-5-6-1-3-7(4-2-6)9(10)11/h1-4H,5H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-15-2(2),XIFJZJPMHNUGRA-UHFFFAOYSA-N,"InChI=1S/C7H8N2O2/c1-8-6-2-4-7(5-3-6)9(10)11/h2-5,8H,1H3",ER,inactive,,0,cerapp_experimental_functional,inchi
100-18-5(4),SPPWGCYEYAMHDT-UHFFFAOYSA-N,"InChI=1S/C12H18/c1-9(2)11-5-7-12(8-6-11)10(3)4/h5-10H,1-4H3",ER,inactive,,0,cerapp_experimental_functional,inchi
100-19-6(2),YQYGPGKTNQNXMH-UHFFFAOYSA-N,"InChI=1S/C8H7NO3/c1-6(10)7-2-4-8(5-3-7)9(11)12/h2-5H,1H3",ER,inactive,,0,cerapp_experimental_functional,inchi
100-20-9(4),LXEJRKJRKIFVNY-UHFFFAOYSA-N,InChI=1S/C8H4Cl2O2/c9-7(11)5-1-2-6(4-3-5)8(10)12/h1-4H,ER,inactive,,0,cerapp_experimental_functional,inchi
100-21-0(4),KKEYFWRCBNTPAC-UHFFFAOYSA-N,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",ER,inactive,,0,cerapp_experimental_functional,inchi
100-22-1(2),CJAOGUFAAWZWNI-UHFFFAOYSA-N,"InChI=1S/C10H16N2/c1-11(2)9-5-7-10(8-6-9)12(3)4/h5-8H,1-4H3",ER,inactive,,0,cerapp_experimental_functional,inchi
100-27-6(2),IKMXRUOZUUKSON-UHFFFAOYSA-N,"InChI=1S/C8H9NO3/c10-6-5-7-1-3-8(4-2-7)9(11)12/h1-4,10H,5-6H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-29-8(2),NWPKEYHUZKMWKJ-UHFFFAOYSA-N,"InChI=1S/C8H9NO3/c1-2-12-8-5-3-7(4-6-8)9(10)11/h3-6H,2H2,1H3",ER,active,,1,cerapp_experimental_functional,inchi
100-37-8(4),BFSVOASYOCHEOV-UHFFFAOYSA-N,"InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
100-39-0(2),AGEZXYOZHKGVCM-UHFFFAOYSA-N,"InChI=1S/C7H7Br/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-40-3(2),BBDKZWKEPDTENS-UHFFFAOYSA-N,"InChI=1S/C8H12/c1-2-8-6-4-3-5-7-8/h2-4,8H,1,5-7H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-41-4(2),YNQLUTRBYVCPMQ-UHFFFAOYSA-N,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",ER,inactive,,0,cerapp_experimental_functional,inchi
100-42-5(4),PPBRXRYQALVLMV-UHFFFAOYSA-N,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-44-7(2),KCXMKQUNVWSEMD-UHFFFAOYSA-N,"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-46-9(2),WGQKYBSKWIADBV-UHFFFAOYSA-N,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-47-0(4),JFDZBHWFFUWGJE-UHFFFAOYSA-N,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,ER,inactive,,0,cerapp_experimental_functional,inchi
100-48-1(2),GPHQHTOMRSGBNZ-UHFFFAOYSA-N,InChI=1S/C6H4N2/c7-5-6-1-3-8-4-2-6/h1-4H,ER,inactive,,0,cerapp_experimental_functional,inchi
100-50-5(2),DCFDVJPDXYGCOK-UHFFFAOYSA-N,"InChI=1S/C7H10O/c8-6-7-4-2-1-3-5-7/h1-2,6-7H,3-5H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-51-6(6),WVDDGKGOMKODPV-UHFFFAOYSA-N,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-52-7(6),HUMNYLRZRPPJDN-UHFFFAOYSA-N,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,ER,inactive,,0,cerapp_experimental_functional,inchi
100-53-8(2),UENWRTRMUIOCKN-UHFFFAOYSA-N,"InChI=1S/C7H8S/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-54-9(4),GZPHSAQLYPIAIN-UHFFFAOYSA-N,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H",ER,inactive,,0,cerapp_experimental_functional,inchi
