input_id,input_id_type,inchikey,mapping_confidence
003563-27-7(1),CASRN,NLLMJANWPUQQTA-UHFFFAOYSA-N,inchi
100-00-5(4),CASRN,CZGCEKJOLUNIFY-UHFFFAOYSA-N,inchi
100-01-6(2),CASRN,TYMLOMAKGOJONV-UHFFFAOYSA-N,inchi
"100-02-7(4), 824-78-2(2)",CASRN,BTJIUGUIPKRLHP-UHFFFAOYSA-N,inchi
100-06-1(2),CASRN,NTPLXRHDUXRPNE-UHFFFAOYSA-N,inchi
100-10-7(2),CASRN,BGNGWHSBYQYVRX-UHFFFAOYSA-N,inchi
100-11-8(2),CASRN,VOLRSQPSJGXRNJ-UHFFFAOYSA-N,inchi
100-14-1(2),CASRN,KGCNHWXDPDPSBV-UHFFFAOYSA-N,inchi
100-15-2(2),CASRN,XIFJZJPMHNUGRA-UHFFFAOYSA-N,inchi
100-18-5(4),CASRN,SPPWGCYEYAMHDT-UHFFFAOYSA-N,inchi
100-19-6(2),CASRN,YQYGPGKTNQNXMH-UHFFFAOYSA-N,inchi
100-20-9(4),CASRN,LXEJRKJRKIFVNY-UHFFFAOYSA-N,inchi
100-21-0(4),CASRN,KKEYFWRCBNTPAC-UHFFFAOYSA-N,inchi
100-22-1(2),CASRN,CJAOGUFAAWZWNI-UHFFFAOYSA-N,inchi
100-27-6(2),CASRN,IKMXRUOZUUKSON-UHFFFAOYSA-N,inchi
100-29-8(2),CASRN,NWPKEYHUZKMWKJ-UHFFFAOYSA-N,inchi
100-37-8(4),CASRN,BFSVOASYOCHEOV-UHFFFAOYSA-N,inchi
100-39-0(2),CASRN,AGEZXYOZHKGVCM-UHFFFAOYSA-N,inchi
100-40-3(2),CASRN,BBDKZWKEPDTENS-UHFFFAOYSA-N,inchi
100-41-4(2),CASRN,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,inchi
100-42-5(4),CASRN,PPBRXRYQALVLMV-UHFFFAOYSA-N,inchi
100-44-7(2),CASRN,KCXMKQUNVWSEMD-UHFFFAOYSA-N,inchi
100-46-9(2),CASRN,WGQKYBSKWIADBV-UHFFFAOYSA-N,inchi
100-47-0(4),CASRN,JFDZBHWFFUWGJE-UHFFFAOYSA-N,inchi
100-48-1(2),CASRN,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,inchi
100-50-5(2),CASRN,DCFDVJPDXYGCOK-UHFFFAOYSA-N,inchi
100-51-6(6),CASRN,WVDDGKGOMKODPV-UHFFFAOYSA-N,inchi
100-52-7(6),CASRN,HUMNYLRZRPPJDN-UHFFFAOYSA-N,inchi
100-53-8(2),CASRN,UENWRTRMUIOCKN-UHFFFAOYSA-N,inchi
100-54-9(4),CASRN,GZPHSAQLYPIAIN-UHFFFAOYSA-N,inchi
100-55-0(4),CASRN,MVQVNTPHUGQQHK-UHFFFAOYSA-N,inchi
100-61-8(2),CASRN,AFBPFSWMIHJQDM-UHFFFAOYSA-N,inchi
100-64-1(4),CASRN,AFLQDEOAJRGCOW-UHFFFAOYSA-N,inchi
100-65-2(2),CASRN,CKRZKMFTZCFYGB-UHFFFAOYSA-N,inchi
100-69-6(2),CASRN,KGIGUEBEKRSTEW-UHFFFAOYSA-N,inchi
100-70-9(4),CASRN,FFNVQNRYTPFDDP-UHFFFAOYSA-N,inchi
100-74-3(2),CASRN,HVCNXQOWACZAFN-UHFFFAOYSA-N,inchi
100-75-4(2),CASRN,UWSDONTXWQOZFN-UHFFFAOYSA-N,inchi
100-86-7(2),CASRN,RIWRBSMFKVOJMN-UHFFFAOYSA-N,inchi
"100-88-9(4), 139-05-9(2)",CASRN,HCAJEUSONLESMK-UHFFFAOYSA-N,inchi
100-97-0(6),CASRN,VKYKSIONXSXAKP-UHFFFAOYSA-N,inchi
1000-05-1(2),CASRN,MMAKNNYIZYDWTD-UHFFFAOYSA-N,inchi
10001-13-5(2),CASRN,FRSIMZWJVMLPAI-UHFFFAOYSA-N,inchi
10004-44-1(2),CASRN,KGVPNLBXJKTABS-UHFFFAOYSA-N,inchi
10016-20-3(6),CASRN,HFHDHCJBZVLPGP-UHFFFAOYSA-N,inchi
1002-69-3(2),CASRN,ZTEHOZMYMCEYRM-UHFFFAOYSA-N,inchi
1002-84-2(2),CASRN,WQEPLUUGTLDZJY-UHFFFAOYSA-N,inchi
10023-54-8(2),CASRN,CMLVHSVFSYNMGM-WYMLVPIESA-N,inchi
100286-90-6(2),CASRN,UWKQSNNFCGGAFS-UHFFFAOYSA-N,inchi
100299-08-9(2),CASRN,HIANJWSAHKJQTH-UHFFFAOYSA-N,inchi
10032-15-2(2),CASRN,YUECNVSODFDKOQ-UHFFFAOYSA-N,inchi
10040-45-6(2),CASRN,UJIDKYTZIQTXPM-UHFFFAOYSA-N,inchi
10042-59-8(2),CASRN,YLQLIQIAXYRMDL-UHFFFAOYSA-N,inchi
10049-83-9(2),CASRN,SIXLXDIJGIWWFU-UHFFFAOYSA-N,inchi
10052-47-8(2),CASRN,SEACXNRNJAXIBM-UHFFFAOYSA-N,inchi
100643-71-8(2),CASRN,JAUOIFJMECXRGI-UHFFFAOYSA-N,inchi
100678-32-8(2),CASRN,IPOBOOXFSRWSHL-UHFFFAOYSA-N,inchi
1007-28-9(2),CASRN,IVENSCMCQBJAKW-UHFFFAOYSA-N,inchi
1008-72-6(2),CASRN,SHHKMWMIKILKQW-UHFFFAOYSA-N,inchi
10081-67-1(4),CASRN,UJAWGGOCYUPCPS-UHFFFAOYSA-N,inchi
1009-61-6(2),CASRN,SKBBQSLSGRSQAJ-UHFFFAOYSA-N,inchi
1009-93-4(2),CASRN,WGGNJZRNHUJNEM-UHFFFAOYSA-N,inchi
10094-34-5(2),CASRN,SHSGYHAHMQLYRB-UHFFFAOYSA-N,inchi
101-02-0(4),CASRN,HVLLSGMXQDNUAL-UHFFFAOYSA-N,inchi
101-05-3(2),CASRN,IMHBYKMAHXWHRP-UHFFFAOYSA-N,inchi
101-10-0(2),CASRN,YNTJKQDWYXUTLZ-UHFFFAOYSA-N,inchi
101-11-1(2),CASRN,BQGRVFPPZJPWPB-UHFFFAOYSA-N,inchi
101-14-4(2),CASRN,IBOFVQJTBBUKMU-UHFFFAOYSA-N,inchi
101-18-8(2),CASRN,NDACNGSDAFKTGE-UHFFFAOYSA-N,inchi
101-20-2(6),CASRN,ICUTUKXCWQYESQ-UHFFFAOYSA-N,inchi
101-21-3(4),CASRN,CWJSHJJYOPWUGX-UHFFFAOYSA-N,inchi
101-26-8(2),CASRN,RVOLLAQWKVFTGE-UHFFFAOYSA-N,inchi
101-27-9(2),CASRN,MCOQHIWZJUDQIC-UHFFFAOYSA-N,inchi
101-37-1(2),CASRN,BJELTSYBAHKXRW-UHFFFAOYSA-N,inchi
101-39-3(2),CASRN,VLUMOWNVWOXZAU-VQHVLOKHSA-N,inchi
101-40-6(2),CASRN,JCRIVQIOJSSCQD-UHFFFAOYSA-N,inchi
101-41-7(2),CASRN,CRZQGDNQQAALAY-UHFFFAOYSA-N,inchi
101-42-8(2),CASRN,XXOYNJXVWVNOOJ-UHFFFAOYSA-N,inchi
101-48-4(2),CASRN,WNJSKZBEWNVKGU-UHFFFAOYSA-N,inchi
101-53-1(2),CASRN,HJSPWKGEPDZNLK-UHFFFAOYSA-N,inchi
"101-54-2(4), 2198-59-6(2)",CASRN,ATGUVEKSASEFFO-UHFFFAOYSA-N,inchi
101-55-3(4),CASRN,JDUYPUMQALQRCN-UHFFFAOYSA-N,inchi
101-61-1(4),CASRN,JNRLEMMIVRBKJE-UHFFFAOYSA-N,inchi
101-63-3(2),CASRN,MWAGUKZCDDRDCS-UHFFFAOYSA-N,inchi
101-70-2(2),CASRN,VCOONNWIINSFBA-UHFFFAOYSA-N,inchi
101-71-3(2),CASRN,ZBJBRUSGEJORQL-UHFFFAOYSA-N,inchi
101-77-9(4),CASRN,YBRVSVVVWCFQMG-UHFFFAOYSA-N,inchi
101-79-1(2),CASRN,YTISFYMPVILQRL-UHFFFAOYSA-N,inchi
101-80-4(4),CASRN,HLBLWEWZXPIGSM-UHFFFAOYSA-N,inchi
101-81-5(2),CASRN,CZZYITDELCSZES-UHFFFAOYSA-N,inchi
101-83-7(6),CASRN,XBPCUCUWBYBCDP-UHFFFAOYSA-N,inchi
101-84-8(4),CASRN,USIUVYZYUHIAEV-UHFFFAOYSA-N,inchi
101-85-9(2),CASRN,LIPHCKNQPJXUQF-KAMYIIQDSA-N,inchi
101-86-0(4),CASRN,GUUHFMWKWLOQMM-NTCAYCPXSA-N,inchi
101-90-6(2),CASRN,WPYCRFCQABTEKC-UHFFFAOYSA-N,inchi
"101-93-9(4), 620-99-5(2)",CASRN,QXDAEKSDNVPFJG-UHFFFAOYSA-N,inchi
101-96-2(2),CASRN,FSWDLYNGJBGFJH-UHFFFAOYSA-N,inchi
101-97-3(2),CASRN,DULCUDSUACXJJC-UHFFFAOYSA-N,inchi
101001-34-7(2),CASRN,ISCHOARKJADAKJ-UHFFFAOYSA-N,inchi
101152-94-7(2),CASRN,GJJFMKBJSRMPLA-UHFFFAOYSA-N,inchi
101200-48-0(2),CASRN,VLCQZHSMCYCDJL-UHFFFAOYSA-N,inchi
101312-92-9(2),CASRN,LLYYNOVSVPBRGV-UHFFFAOYSA-N,inchi
1014-70-6(2),CASRN,MGLWZSOBALDPEK-UHFFFAOYSA-N,inchi
101463-69-8(2),CASRN,RYLHNOVXKPXDIP-UHFFFAOYSA-N,inchi
101477-54-7(2),CASRN,JQSAYKKFZOSZGJ-UHFFFAOYSA-N,inchi
101526-62-9(2),CASRN,KHYPYQZQJSBPIX-UHFFFAOYSA-N,inchi
101530-10-3(2),CASRN,ZRTQSJFIDWNVJW-OWBHPGMISA-N,inchi
10161-33-8(4),CASRN,MEHHPFQKXOUFFV-UHFFFAOYSA-N,inchi
10161-34-9(2),CASRN,CMRJPMODSSEAPL-UHFFFAOYSA-N,inchi
101626-70-4(2),CASRN,DHSSDEDRBUKTQY-UHFFFAOYSA-N,inchi
"101828-21-1(2), 101827-46-7(2)",CASRN,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,inchi
101831-37-2(2),CASRN,ZSZFUDFOPOMEET-UHFFFAOYSA-N,inchi
10190-99-5(2),CASRN,BBFQZRXNYIEMAW-UHFFFAOYSA-N,inchi
101973-77-7(2),CASRN,YRSSFEUQNAXQMX-UHFFFAOYSA-N,inchi
101975-10-4(2),CASRN,HJMQDJPMQIHLPB-UHFFFAOYSA-N,inchi
102-01-2(4),CASRN,DYRDKSSFIWVSNM-UHFFFAOYSA-N,inchi
102-05-6(2),CASRN,WYZDCUGWXKHESN-UHFFFAOYSA-N,inchi
102-06-7(4),CASRN,OWRCNXZUPFZXOS-UHFFFAOYSA-N,inchi
102-07-8(2),CASRN,GWEHVDNNLFDJLR-UHFFFAOYSA-N,inchi
102-08-9(2),CASRN,FCSHMCFRCYZTRQ-UHFFFAOYSA-N,inchi
102-09-0(2),CASRN,ROORDVPLFPIABK-UHFFFAOYSA-N,inchi
102-16-9(2),CASRN,MIYFJEKZLFWKLZ-UHFFFAOYSA-N,inchi
102-20-5(2),CASRN,ZOZIRNMDEZKZHM-UHFFFAOYSA-N,inchi
102-27-2(4),CASRN,GUYMMHOQXYZMJQ-UHFFFAOYSA-N,inchi
102-28-3(2),CASRN,PEMGGJDINLGTON-UHFFFAOYSA-N,inchi
102-29-4(2),CASRN,ZZPKZRHERLGEKA-UHFFFAOYSA-N,inchi
102-36-3(2),CASRN,MFUVCHZWGSJKEQ-UHFFFAOYSA-N,inchi
102-40-9(2),CASRN,IAXFZZHBFXRZMT-UHFFFAOYSA-N,inchi
102-50-1(4),CASRN,CDGNLUSBENXDGG-UHFFFAOYSA-N,inchi
102-60-3(6),CASRN,NSOXQYCFHDMMGV-UHFFFAOYSA-N,inchi
102-70-5(2),CASRN,VPYJNCGUESNPMV-UHFFFAOYSA-N,inchi
102-71-6(6),CASRN,GSEJCLTVZPLZKY-UHFFFAOYSA-N,inchi
102-76-1(6),CASRN,URAYPUMNDPQOKB-UHFFFAOYSA-N,inchi
102-77-2(2),CASRN,MHKLKWCYGIBEQF-UHFFFAOYSA-N,inchi
102-79-4(2),CASRN,GVNHOISKXMSMPX-UHFFFAOYSA-N,inchi
102-81-8(2),CASRN,IWSZDQRGNFLMJS-UHFFFAOYSA-N,inchi
102-82-9(4),CASRN,IMFACGCPASFAPR-UHFFFAOYSA-N,inchi
102-87-4(2),CASRN,SWZDQOUHBYYPJD-UHFFFAOYSA-N,inchi
"102-96-5(2), 5153-67-3(2)",CASRN,PIAOLBVUVDXHHL-VOTSOKGWSA-N,inchi
102121-60-8(2),CASRN,SZWKGOZKRMMLAJ-UHFFFAOYSA-N,inchi
10213-75-9(2),CASRN,HXBFULVLSKAGSQ-UHFFFAOYSA-N,inchi
10217-34-2(2),CASRN,UDUKMRHNZZLJRB-UHFFFAOYSA-N,inchi
1021868-82-5(2),CASRN,BGWRJAXPPYHIRG-UHFFFAOYSA-N,inchi
10222-01-2(2),CASRN,UUIVKBHZENILKB-UHFFFAOYSA-N,inchi
102268-15-5(2),CASRN,MTAVBTGOXNGCJR-UHFFFAOYSA-N,inchi
10238-21-8(4),CASRN,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,inchi
102394-31-0(2),CASRN,UBRKDAVQCKZSPO-UHFFFAOYSA-N,inchi
1024-57-3(2),CASRN,ZXFXBSWRVIQKOD-UHFFFAOYSA-N,inchi
102409-92-7(2),CASRN,BUZDGGFWWPZBIN-UHFFFAOYSA-N,inchi
1025-15-6(2),CASRN,KOMNUTZXSVSERR-UHFFFAOYSA-N,inchi
102518-79-6(2),CASRN,JUGJMXIKPNJQLT-QDEBKDIKSA-N,inchi
10258-54-5(2),CASRN,SGLKIEOMYXTGBH-UHFFFAOYSA-N,inchi
"10262-69-8(2), 10347-81-6(2)",CASRN,QSLMDECMDJKHMQ-UHFFFAOYSA-N,inchi
"102625-70-7(2), 138786-67-1(4)",CASRN,IQPSEEYGBUAQFF-UHFFFAOYSA-N,inchi
10265-92-6(4),CASRN,NNKVPIKMPCQWCG-UHFFFAOYSA-N,inchi
102676-31-3(2),CASRN,CLPFFLWZZBQMAO-UHFFFAOYSA-N,inchi
1027-14-1(2),CASRN,GOZBHBFUQHMKQB-UHFFFAOYSA-N,inchi
1027-87-8(2),CASRN,SHVCKTUQDUTJDT-UHFFFAOYSA-N,inchi
102778-59-6(2),CASRN,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,inchi
"10281-55-7(2), 2436-90-0(2)",CASRN,FUDNBFMOXDUIIE-UHFFFAOYSA-N,inchi
"102851-06-9(2), 69409-94-5(2)",CASRN,INISTDXBRIBGOC-UHFFFAOYSA-N,inchi
10287-53-3(2),CASRN,FZUGPQWGEGAKET-UHFFFAOYSA-N,inchi
102992-93-8(2),CASRN,DCOAXFMVFWUZET-UHFFFAOYSA-N,inchi
103-03-7(6),CASRN,AVKHCKXGKPAGEI-UHFFFAOYSA-N,inchi
103-05-9(2),CASRN,YXVSKJDFNJFXAJ-UHFFFAOYSA-N,inchi
